id,b01_SAEM,b11_SAEM,b21_SAEM,a1_SAEM,b02_SAEM,b12_SAEM,b03_SAEM,b13_SAEM,b04_SAEM,b14_SAEM,b05_SAEM,b15_SAEM,b06_SAEM,b16_SAEM,p1_SAEM,g1_SAEM,p2_SAEM,g2_SAEM,alpha11_SAEM,alpha12_SAEM,alpha13_SAEM,alpha14_SAEM,alpha15_SAEM,alpha16_SAEM,alpha21_SAEM,alpha22_SAEM,alpha23_SAEM,alpha24_SAEM,alpha25_SAEM,alpha26_SAEM,b01_mean,b11_mean,b21_mean,a1_mean,b02_mean,b12_mean,b03_mean,b13_mean,b04_mean,b14_mean,b05_mean,b15_mean,b06_mean,b16_mean,p1_mean,g1_mean,p2_mean,g2_mean,alpha11_mean,alpha12_mean,alpha13_mean,alpha14_mean,alpha15_mean,alpha16_mean,alpha21_mean,alpha22_mean,alpha23_mean,alpha24_mean,alpha25_mean,alpha26_mean,b01_mode,b11_mode,b21_mode,a1_mode,b02_mode,b12_mode,b03_mode,b13_mode,b04_mode,b14_mode,b05_mode,b15_mode,b06_mode,b16_mode,p1_mode,g1_mode,p2_mode,g2_mode,alpha11_mode,alpha12_mode,alpha13_mode,alpha14_mode,alpha15_mode,alpha16_mode,alpha21_mode,alpha22_mode,alpha23_mode,alpha24_mode,alpha25_mode,alpha26_mode,b01_sd,b11_sd,b21_sd,a1_sd,b02_sd,b12_sd,b03_sd,b13_sd,b04_sd,b14_sd,b05_sd,b15_sd,b06_sd,b16_sd,p1_sd,g1_sd,p2_sd,g2_sd,alpha11_sd,alpha12_sd,alpha13_sd,alpha14_sd,alpha15_sd,alpha16_sd,alpha21_sd,alpha22_sd,alpha23_sd,alpha24_sd,alpha25_sd,alpha26_sd
1,5.90894,-0.103479,-0.134865,5.60265,7.37475,0.00099302,4.24319,-0.128014,9.22693,-0.000600781,7.57474,-0.0511412,5.01961,-0.0792257,0.0236944,0.131088,0.785196,0.0808938,0.184699,-11.8272,0.7007,-0.000414039,-1.02525e-05,0.000375966,-0.106392,-2.49432e-07,3.26882e-09,0.0718355,9.292e-07,-0.000873171,5.99625,-0.105539,-0.148536,5.571,7.37976,0.000725204,4.19531,-0.126673,9.20787,0.000812412,7.63813,-0.0492006,4.96412,-0.0906062,0.0238521,0.131694,0.785437,0.0808889,0.182309,-11.8629,0.696119,-0.000412886,-9.7446e-06,0.000377444,-0.106216,-2.44306e-07,3.27558e-09,0.0722721,9.95493e-07,-0.000841371,5.47232,-0.113927,-0.134453,3.7635,7.37468,0.00110588,4.22842,-0.138078,9.2265,0.000420351,7.54355,-0.0401166,4.9456,-0.0826617,0.0238521,0.131694,0.785437,0.0808889,0.182309,-11.8629,0.696119,-0.000412886,-9.7446e-06,0.000377444,-0.106216,-2.44306e-07,3.27558e-09,0.0722721,9.95493e-07,-0.000841371,1.07251,0.0949899,0.0683268,6.19595,0.0240992,0.0054803,0.461915,0.14353,0.639175,0.0904102,0.416057,0.0910503,0.399923,0.0936016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2.73936,-0.0891717,-0.152066,4.2989,7.43959,0.000488528,3.63728,-0.11937,4.86748,-0.0346366,7.44929,0.0454426,6.10728,-0.136153,0.0236944,0.131088,0.785196,0.0808938,0.184699,-11.8272,0.7007,-0.000414039,-1.02525e-05,0.000375966,-0.106392,-2.49432e-07,3.26882e-09,0.0718355,9.292e-07,-0.000873171,2.40017,-0.0576144,-0.152665,4.24728,7.44092,0.000341788,3.72372,-0.126122,4.74718,-0.0210421,7.4465,0.0485306,6.00021,-0.128745,0.0238521,0.131694,0.785437,0.0808889,0.182309,-11.8629,0.696119,-0.000412886,-9.7446e-06,0.000377444,-0.106216,-2.44306e-07,3.27558e-09,0.0722721,9.95493e-07,-0.000841371,1.99757,-0.0625107,-0.143304,5.33237,7.4438,0.000231398,3.69449,-0.12245,4.84147,-0.0310183,7.55182,0.0331412,6.10154,-0.138032,0.0238521,0.131694,0.785437,0.0808889,0.182309,-11.8629,0.696119,-0.000412886,-9.7446e-06,0.000377444,-0.106216,-2.44306e-07,3.27558e-09,0.0722721,9.95493e-07,-0.000841371,0.589673,0.0411082,0.0542172,4.92182,0.0158179,0.00115924,0.317571,0.0254796,0.345798,0.0269528,0.326423,0.0310535,0.275559,0.020103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3.38287,-0.150136,-0.119466,3.44124,7.37374,0.00720369,4.66621,-0.355203,5.60331,0.0829319,6.3982,-0.218279,6.43118,-0.178268,0.0236944,0.131088,0.785196,0.0808938,0.184699,-11.8272,0.7007,-0.000414039,-1.02525e-05,0.000375966,-0.106392,-2.49432e-07,3.26882e-09,0.0718355,9.292e-07,-0.000873171,3.50151,-0.172723,-0.137347,5.51484,7.37027,0.00736628,4.79939,-0.367786,5.63843,0.0805542,6.53797,-0.22652,6.23746,-0.163692,0.0238521,0.131694,0.785437,0.0808889,0.182309,-11.8629,0.696119,-0.000412886,-9.7446e-06,0.000377444,-0.106216,-2.44306e-07,3.27558e-09,0.0722721,9.95493e-07,-0.000841371,3.67586,-0.167047,-0.111058,5.95061,7.36621,0.00772308,4.64078,-0.354484,5.64184,0.0806912,6.41543,-0.220034,6.39794,-0.1778,0.0238521,0.131694,0.785437,0.0808889,0.182309,-11.8629,0.696119,-0.000412886,-9.7446e-06,0.000377444,-0.106216,-2.44306e-07,3.27558e-09,0.0722721,9.95493e-07,-0.000841371,0.476704,0.0545258,0.0514172,5.30482,0.0168792,0.0013067,0.370628,0.0285514,0.384892,0.0301766,0.275618,0.0164022,0.265833,0.0169527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4.37631,-0.140969,-0.11588,5.3504,7.39495,0.00251759,4.16064,-0.0956798,3.82664,-0.0230896,7.13978,0.0328567,4.88476,-0.0295371,0.0236944,0.131088,0.785196,0.0808938,0.184699,-11.8272,0.7007,-0.000414039,-1.02525e-05,0.000375966,-0.106392,-2.49432e-07,3.26882e-09,0.0718355,9.292e-07,-0.000873171,4.37019,-0.140574,-0.129843,4.38332,7.39501,0.00279807,4.07553,-0.0595001,3.84158,-0.0292018,7.17338,0.0326889,4.89966,-0.033387,0.0238521,0.131694,0.785437,0.0808889,0.182309,-11.8629,0.696119,-0.000412886,-9.7446e-06,0.000377444,-0.106216,-2.44306e-07,3.27558e-09,0.0722721,9.95493e-07,-0.000841371,4.37224,-0.166081,-0.082528,8.65748,7.39386,0.00219996,4.15936,-0.0913259,3.83975,-0.0176004,7.09953,0.0296101,4.82243,-0.0334601,0.0238521,0.131694,0.785437,0.0808889,0.182309,-11.8629,0.696119,-0.000412886,-9.7446e-06,0.000377444,-0.106216,-2.44306e-07,3.27558e-09,0.0722721,9.95493e-07,-0.000841371,0.756196,0.0828399,0.0677917,4.25109,0.0233229,0.00591356,0.450723,0.124521,0.477833,0.0844629,0.375432,0.0888454,0.356575,0.0823128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6.77873,-0.112495,-0.136051,6.58646,7.34222,0.00387531,3.2579,-0.137626,4.7382,0.0302352,7.49817,-0.0442231,6.2148,-0.0767551,0.0236944,0.131088,0.785196,0.0808938,0.184699,-11.8272,0.7007,-0.000414039,-1.02525e-05,0.000375966,-0.106392,-2.49432e-07,3.26882e-09,0.0718355,9.292e-07,-0.000873171,6.73487,-0.113289,-0.140391,6.35978,7.33826,0.00455969,3.30177,-0.138049,4.77768,0.00533043,7.49064,-0.0378854,6.1848,-0.0960562,0.0238521,0.131694,0.785437,0.0808889,0.182309,-11.8629,0.696119,-0.000412886,-9.7446e-06,0.000377444,-0.106216,-2.44306e-07,3.27558e-09,0.0722721,9.95493e-07,-0.000841371,6.57609,-0.110718,-0.13796,3.79169,7.34068,0.00316259,3.27008,-0.146035,4.73952,0.0178391,7.43802,-0.040118,6.13419,-0.0827588,0.0238521,0.131694,0.785437,0.0808889,0.182309,-11.8629,0.696119,-0.000412886,-9.7446e-06,0.000377444,-0.106216,-2.44306e-07,3.27558e-09,0.0722721,9.95493e-07,-0.000841371,1.01538,0.0822429,0.06981,8.29695,0.0326349,0.00565418,0.528404,0.139494,0.622894,0.0902266,0.426078,0.095407,0.437033,0.0766492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,5.66685,-0.103389,-0.13787,4.08956,7.47327,0.00460244,5.94685,-0.176817,5.23216,0.0536277,8.01426,-0.0515657,5.39989,-0.115603,0.0236944,0.131088,0.785196,0.0808938,0.184699,-11.8272,0.7007,-0.000414039,-1.02525e-05,0.000375966,-0.106392,-2.49432e-07,3.26882e-09,0.0718355,9.292e-07,-0.000873171,5.92317,-0.125494,-0.147177,4.64291,7.47049,0.00479852,6.07887,-0.185118,5.2523,0.0556484,7.89305,-0.0456693,5.28241,-0.10892,0.0238521,0.131694,0.785437,0.0808889,0.182309,-11.8629,0.696119,-0.000412886,-9.7446e-06,0.000377444,-0.106216,-2.44306e-07,3.27558e-09,0.0722721,9.95493e-07,-0.000841371,5.36582,-0.0632462,-0.11875,3.73588,7.46903,0.00488265,5.9709,-0.17803,5.2682,0.0522935,7.93961,-0.0491712,5.28894,-0.111406,0.0238521,0.131694,0.785437,0.0808889,0.182309,-11.8629,0.696119,-0.000412886,-9.7446e-06,0.000377444,-0.106216,-2.44306e-07,3.27558e-09,0.0722721,9.95493e-07,-0.000841371,0.590948,0.075608,0.0584795,7.69109,0.0219012,0.00141604,0.347542,0.0218407,0.36258,0.0216857,0.299967,0.0183699,0.293273,0.0154175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,5.32587,-0.133827,-0.143866,4.77852,7.3832,0.00170631,3.84309,-0.176193,4.7575,-0.0172498,6.23356,-0.0992445,5.06886,-0.106506,0.0236944,0.131088,0.785196,0.0808938,0.184699,-11.8272,0.7007,-0.000414039,-1.02525e-05,0.000375966,-0.106392,-2.49432e-07,3.26882e-09,0.0718355,9.292e-07,-0.000873171,5.42196,-0.121919,-0.12905,4.91941,7.38802,0.00113728,3.7053,-0.144052,4.84428,-0.0221435,6.25259,-0.105959,5.12532,-0.113548,0.0238521,0.131694,0.785437,0.0808889,0.182309,-11.8629,0.696119,-0.000412886,-9.7446e-06,0.000377444,-0.106216,-2.44306e-07,3.27558e-09,0.0722721,9.95493e-07,-0.000841371,5.07947,-0.126895,-0.126085,3.8492,7.38528,0.00150971,3.79366,-0.166762,4.79352,-0.0174936,6.18644,-0.0963494,5.02261,-0.10719,0.0238521,0.131694,0.785437,0.0808889,0.182309,-11.8629,0.696119,-0.000412886,-9.7446e-06,0.000377444,-0.106216,-2.44306e-07,3.27558e-09,0.0722721,9.95493e-07,-0.000841371,1.14771,0.0707601,0.077147,4.7428,0.0219837,0.00403901,0.413985,0.10544,0.40606,0.0825242,0.317226,0.0643044,0.307093,0.0625043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,5.80063,-0.0402369,-0.145474,4.90428,7.41,0.0066294,4.82996,-0.139968,7.69164,0.0845905,6.62777,0.0701998,5.5575,-0.0853555,0.0236944,0.131088,0.785196,0.0808938,0.184699,-11.8272,0.7007,-0.000414039,-1.02525e-05,0.000375966,-0.106392,-2.49432e-07,3.26882e-09,0.0718355,9.292e-07,-0.000873171,5.62974,-0.0276132,-0.145615,3.32175,7.41263,0.00649977,4.85017,-0.137346,7.77193,0.0791296,6.58935,0.0730986,5.50388,-0.0817683,0.0238521,0.131694,0.785437,0.0808889,0.182309,-11.8629,0.696119,-0.000412886,-9.7446e-06,0.000377444,-0.106216,-2.44306e-07,3.27558e-09,0.0722721,9.95493e-07,-0.000841371,4.78318,-0.0115671,-0.136075,4.5656,7.41117,0.00658614,4.76169,-0.13418,7.68958,0.0848849,6.60412,0.0696937,5.53354,-0.0852285,0.0238521,0.131694,0.785437,0.0808889,0.182309,-11.8629,0.696119,-0.000412886,-9.7446e-06,0.000377444,-0.106216,-2.44306e-07,3.27558e-09,0.0722721,9.95493e-07,-0.000841371,1.07149,0.0734515,0.0588897,1.66397,0.0173549,0.00120898,0.342816,0.0239904,0.383418,0.0258558,0.286814,0.0214555,0.244289,0.0151065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,3.61974,-0.0911697,-0.15016,5.04773,7.39937,0.0043911,5.25847,-0.173274,7.74293,0.0229413,5.76908,-0.161716,5.36274,-0.0585804,0.0236944,0.131088,0.785196,0.0808938,0.184699,-11.8272,0.7007,-0.000414039,-1.02525e-05,0.000375966,-0.106392,-2.49432e-07,3.26882e-09,0.0718355,9.292e-07,-0.000873171,3.59285,-0.0986827,-0.156939,5.06175,7.39866,0.00460282,5.23997,-0.145883,7.76976,0.0111148,5.76663,-0.168063,5.35468,-0.0585036,0.0238521,0.131694,0.785437,0.0808889,0.182309,-11.8629,0.696119,-0.000412886,-9.7446e-06,0.000377444,-0.106216,-2.44306e-07,3.27558e-09,0.0722721,9.95493e-07,-0.000841371,3.25094,-0.0886432,-0.152488,4.49472,7.39748,0.00460085,5.22606,-0.149365,7.73849,0.0278596,5.7149,-0.166664,5.28246,-0.0580728,0.0238521,0.131694,0.785437,0.0808889,0.182309,-11.8629,0.696119,-0.000412886,-9.7446e-06,0.000377444,-0.106216,-2.44306e-07,3.27558e-09,0.0722721,9.95493e-07,-0.000841371,0.758961,0.0753787,0.0675492,4.57937,0.0229093,0.00587556,0.416871,0.128485,0.481617,0.0890951,0.339912,0.0958823,0.346015,0.0852425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,5.52278,-0.113436,-0.140301,5.60128,7.41792,0.0037539,5.33956,-0.126206,7.39444,0.0248917,7.28131,-0.0323491,5.28514,-0.0750832,0.0236944,0.131088,0.785196,0.0808938,0.184699,-11.8272,0.7007,-0.000414039,-1.02525e-05,0.000375966,-0.106392,-2.49432e-07,3.26882e-09,0.0718355,9.292e-07,-0.000873171,5.59161,-0.104992,-0.13969,4.30656,7.41577,0.00329348,5.27772,-0.0703028,7.35568,0.0211461,7.30647,-0.0346836,5.30809,-0.0842854,0.0238521,0.131694,0.785437,0.0808889,0.182309,-11.8629,0.696119,-0.000412886,-9.7446e-06,0.000377444,-0.106216,-2.44306e-07,3.27558e-09,0.0722721,9.95493e-07,-0.000841371,5.2044,-0.104804,-0.142105,3.88579,7.41662,0.00300253,5.31608,-0.102139,7.35359,0.0186227,7.24693,-0.0399243,5.19563,-0.0827833,0.0238521,0.131694,0.785437,0.0808889,0.182309,-11.8629,0.696119,-0.000412886,-9.7446e-06,0.000377444,-0.106216,-2.44306e-07,3.27558e-09,0.0722721,9.95493e-07,-0.000841371,0.885289,0.0744005,0.0751857,4.15666,0.0263722,0.00511644,0.450426,0.13405,0.628758,0.0902774,0.464628,0.101658,0.42458,0.0877536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,6.79441,-0.1158,-0.147964,4.21076,7.37534,-4.63218e-05,5.50373,0.193843,7.27286,0.0903033,8.8958,0.0319737,5.55998,-0.0507037,0.0236944,0.131088,0.785196,0.0808938,0.184699,-11.8272,0.7007,-0.000414039,-1.02525e-05,0.000375966,-0.106392,-2.49432e-07,3.26882e-09,0.0718355,9.292e-07,-0.000873171,6.63188,-0.111377,-0.148461,3.9258,7.37677,-0.000125896,5.5811,0.184757,7.25289,0.0930512,8.91738,0.038186,5.57797,-0.0494652,0.0238521,0.131694,0.785437,0.0808889,0.182309,-11.8629,0.696119,-0.000412886,-9.7446e-06,0.000377444,-0.106216,-2.44306e-07,3.27558e-09,0.0722721,9.95493e-07,-0.000841371,6.51492,-0.10712,-0.142647,3.88277,7.37405,0.000107346,5.56482,0.187126,7.20434,0.0929052,8.87089,0.0299332,5.53983,-0.0563376,0.0238521,0.131694,0.785437,0.0808889,0.182309,-11.8629,0.696119,-0.000412886,-9.7446e-06,0.000377444,-0.106216,-2.44306e-07,3.27558e-09,0.0722721,9.95493e-07,-0.000841371,0.739665,0.0797404,0.0640904,3.61869,0.0227834,0.00351237,0.421439,0.0690272,0.431983,0.0685297,0.424533,0.0722345,0.327715,0.055208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,3.76056,-0.110396,-0.129366,7.25946,7.39504,0.00243116,3.75168,-0.136413,3.99692,0.02724,7.75367,-0.037889,4.94761,-0.0803178,0.0236944,0.131088,0.785196,0.0808938,0.184699,-11.8272,0.7007,-0.000414039,-1.02525e-05,0.000375966,-0.106392,-2.49432e-07,3.26882e-09,0.0718355,9.292e-07,-0.000873171,3.64551,-0.10929,-0.136245,6.26968,7.39882,0.0015564,3.73247,-0.149088,3.94774,0.0104478,7.83069,-0.0426556,4.94359,-0.081824,0.0238521,0.131694,0.785437,0.0808889,0.182309,-11.8629,0.696119,-0.000412886,-9.7446e-06,0.000377444,-0.106216,-2.44306e-07,3.27558e-09,0.0722721,9.95493e-07,-0.000841371,3.10188,-0.112079,-0.136986,3.77909,7.39526,0.00183627,3.74847,-0.142393,4.0003,0.0184372,7.73362,-0.0400684,4.83848,-0.0827877,0.0238521,0.131694,0.785437,0.0808889,0.182309,-11.8629,0.696119,-0.000412886,-9.7446e-06,0.000377444,-0.106216,-2.44306e-07,3.27558e-09,0.0722721,9.95493e-07,-0.000841371,1.10158,0.0936415,0.0735631,7.36319,0.0245308,0.00533479,0.53327,0.155279,0.631705,0.0901833,0.462954,0.112689,0.419866,0.0857071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,6.71933,0.034753,-0.165962,9.30076,7.36051,0.00605406,3.08242,-0.127594,5.97041,0.0829983,7.87593,-0.0714612,5.30329,-0.0390985,0.0236944,0.131088,0.785196,0.0808938,0.184699,-11.8272,0.7007,-0.000414039,-1.02525e-05,0.000375966,-0.106392,-2.49432e-07,3.26882e-09,0.0718355,9.292e-07,-0.000873171,6.7816,0.0318785,-0.153708,10.1553,7.36408,0.00587798,2.93525,-0.119193,5.81806,0.0943142,7.77621,-0.0669757,5.32883,-0.0408811,0.0238521,0.131694,0.785437,0.0808889,0.182309,-11.8629,0.696119,-0.000412886,-9.7446e-06,0.000377444,-0.106216,-2.44306e-07,3.27558e-09,0.0722721,9.95493e-07,-0.000841371,6.01205,0.0263385,-0.147284,10.9916,7.3589,0.00621072,3.05248,-0.126365,5.89551,0.087948,7.91258,-0.0749716,5.24619,-0.0376756,0.0238521,0.131694,0.785437,0.0808889,0.182309,-11.8629,0.696119,-0.000412886,-9.7446e-06,0.000377444,-0.106216,-2.44306e-07,3.27558e-09,0.0722721,9.95493e-07,-0.000841371,1.26683,0.0144513,0.0586235,3.37278,0.0175362,0.000989595,0.365813,0.0211031,0.461054,0.0250824,0.252358,0.0139947,0.344632,0.01821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,4.19469,0.0289623,-0.163991,9.34337,7.3979,0.00206073,3.87255,0.195086,6.40596,-0.129922,7.96529,0.138649,5.92249,-0.00275669,0.0236944,0.131088,0.785196,0.0808938,0.184699,-11.8272,0.7007,-0.000414039,-1.02525e-05,0.000375966,-0.106392,-2.49432e-07,3.26882e-09,0.0718355,9.292e-07,-0.000873171,4.09338,0.0287147,-0.145305,8.82676,7.39694,0.00261634,3.83754,0.196854,6.43496,-0.135463,7.92229,0.139934,5.85247,0.00390264,0.0238521,0.131694,0.785437,0.0808889,0.182309,-11.8629,0.696119,-0.000412886,-9.7446e-06,0.000377444,-0.106216,-2.44306e-07,3.27558e-09,0.0722721,9.95493e-07,-0.000841371,3.10368,0.0132525,-0.148933,10.2041,7.39909,0.00204263,3.89339,0.192339,6.4138,-0.129696,7.90761,0.141234,5.88419,-0.00441585,0.0238521,0.131694,0.785437,0.0808889,0.182309,-11.8629,0.696119,-0.000412886,-9.7446e-06,0.000377444,-0.106216,-2.44306e-07,3.27558e-09,0.0722721,9.95493e-07,-0.000841371,1.3455,0.0441033,0.0610696,4.61881,0.018783,0.00282873,0.423708,0.0551225,0.384735,0.0532005,0.363407,0.0528011,0.350706,0.046402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,4.99276,-0.0775147,-0.159996,11.7935,7.38538,0.00271257,4.79296,-0.111848,7.40336,0.0104983,7.29211,-0.0301189,5.19895,-0.0789041,0.0236944,0.131088,0.785196,0.0808938,0.184699,-11.8272,0.7007,-0.000414039,-1.02525e-05,0.000375966,-0.106392,-2.49432e-07,3.26882e-09,0.0718355,9.292e-07,-0.000873171,4.93555,-0.074364,-0.164598,13.968,7.38581,0.00313616,4.84758,-0.134337,7.50319,-0.0086672,7.28629,-0.0355495,5.19743,-0.0934332,0.0238521,0.131694,0.785437,0.0808889,0.182309,-11.8629,0.696119,-0.000412886,-9.7446e-06,0.000377444,-0.106216,-2.44306e-07,3.27558e-09,0.0722721,9.95493e-07,-0.000841371,4.43931,-0.0810407,-0.150912,4.63539,7.38491,0.00250355,4.83303,-0.118839,7.41694,0.00713578,7.22745,-0.0402376,5.15693,-0.0827541,0.0238521,0.131694,0.785437,0.0808889,0.182309,-11.8629,0.696119,-0.000412886,-9.7446e-06,0.000377444,-0.106216,-2.44306e-07,3.27558e-09,0.0722721,9.95493e-07,-0.000841371,1.2433,0.0979631,0.071788,21.7372,0.0311055,0.00580921,0.569065,0.147237,0.641199,0.0900026,0.451966,0.103794,0.418224,0.0944702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,6.31648,-0.114414,-0.1453,6.02986,7.38876,0.00386514,3.83297,-0.149114,5.0968,0.0176612,6.34385,-0.0344551,5.2931,-0.0811653,0.0236944,0.131088,0.785196,0.0808938,0.184699,-11.8272,0.7007,-0.000414039,-1.02525e-05,0.000375966,-0.106392,-2.49432e-07,3.26882e-09,0.0718355,9.292e-07,-0.000873171,6.15332,-0.116205,-0.146144,5.95602,7.38992,0.00282908,3.85494,-0.164358,5.12686,0.0249043,6.32118,-0.0292922,5.30351,-0.0758699,0.0238521,0.131694,0.785437,0.0808889,0.182309,-11.8629,0.696119,-0.000412886,-9.7446e-06,0.000377444,-0.106216,-2.44306e-07,3.27558e-09,0.0722721,9.95493e-07,-0.000841371,6.02799,-0.108609,-0.139365,3.8193,7.38983,0.00312674,3.85253,-0.144548,5.12593,0.0174463,6.28333,-0.040124,5.23381,-0.0827682,0.0238521,0.131694,0.785437,0.0808889,0.182309,-11.8629,0.696119,-0.000412886,-9.7446e-06,0.000377444,-0.106216,-2.44306e-07,3.27558e-09,0.0722721,9.95493e-07,-0.000841371,1.01044,0.0844708,0.0724382,6.54037,0.0301246,0.00530342,0.548303,0.145479,0.652918,0.0904726,0.445788,0.101618,0.408048,0.0811936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,5.91051,-0.117211,-0.152424,3.16176,7.37413,0.00913087,4.36532,-0.0902722,5.66259,0.104456,7.18689,0.0122368,4.06037,-0.156513,0.0236944,0.131088,0.785196,0.0808938,0.184699,-11.8272,0.7007,-0.000414039,-1.02525e-05,0.000375966,-0.106392,-2.49432e-07,3.26882e-09,0.0718355,9.292e-07,-0.000873171,6.05829,-0.143285,-0.156513,4.30413,7.3774,0.00902731,4.52094,-0.101363,5.71855,0.101278,7.09356,0.0175449,4.16093,-0.160473,0.0238521,0.131694,0.785437,0.0808889,0.182309,-11.8629,0.696119,-0.000412886,-9.7446e-06,0.000377444,-0.106216,-2.44306e-07,3.27558e-09,0.0722721,9.95493e-07,-0.000841371,5.84618,-0.0971464,-0.127048,3.74702,7.37304,0.00922068,4.36495,-0.0901792,5.68294,0.103475,7.20981,0.00904342,3.96518,-0.152789,0.0238521,0.131694,0.785437,0.0808889,0.182309,-11.8629,0.696119,-0.000412886,-9.7446e-06,0.000377444,-0.106216,-2.44306e-07,3.27558e-09,0.0722721,9.95493e-07,-0.000841371,0.586295,0.0730187,0.0650909,5.01619,0.0175607,0.000965215,0.310454,0.0196211,0.273965,0.014183,0.262785,0.0161261,0.115064,0.00416655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,3.48759,-0.165109,-0.116319,6.90181,7.3778,0.00202587,3.45952,-0.145953,4.05857,-0.030984,7.87439,-0.0148475,3.45696,-0.194977,0.0236944,0.131088,0.785196,0.0808938,0.184699,-11.8272,0.7007,-0.000414039,-1.02525e-05,0.000375966,-0.106392,-2.49432e-07,3.26882e-09,0.0718355,9.292e-07,-0.000873171,3.38434,-0.145444,-0.103876,6.4356,7.37887,0.0020414,3.4542,-0.142129,4.02782,-0.0344313,7.9396,-0.0155922,3.4923,-0.211997,0.0238521,0.131694,0.785437,0.0808889,0.182309,-11.8629,0.696119,-0.000412886,-9.7446e-06,0.000377444,-0.106216,-2.44306e-07,3.27558e-09,0.0722721,9.95493e-07,-0.000841371,3.1669,-0.173308,-0.082857,9.39087,7.37984,0.00191051,3.44653,-0.133918,4.06271,-0.0378476,7.84448,-0.0098211,3.405,-0.209623,0.0238521,0.131694,0.785437,0.0808889,0.182309,-11.8629,0.696119,-0.000412886,-9.7446e-06,0.000377444,-0.106216,-2.44306e-07,3.27558e-09,0.0722721,9.95493e-07,-0.000841371,0.73334,0.0737869,0.0678017,5.91301,0.0240412,0.00537498,0.473168,0.141728,0.502038,0.0934376,0.390055,0.097888,0.239483,0.0787398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,7.65887,-0.0775743,-0.147124,5.98207,7.35532,-0.00243125,5.50409,-0.0286958,4.68168,0.000435201,6.18043,-0.0291738,5.06844,-0.120259,0.0236944,0.131088,0.785196,0.0808938,0.184699,-11.8272,0.7007,-0.000414039,-1.02525e-05,0.000375966,-0.106392,-2.49432e-07,3.26882e-09,0.0718355,9.292e-07,-0.000873171,7.65605,-0.0907929,-0.146927,5.29104,7.35397,-0.00271308,5.44124,-0.0158413,4.66538,-0.00700281,6.19561,-0.0467555,5.12292,-0.130901,0.0238521,0.131694,0.785437,0.0808889,0.182309,-11.8629,0.696119,-0.000412886,-9.7446e-06,0.000377444,-0.106216,-2.44306e-07,3.27558e-09,0.0722721,9.95493e-07,-0.000841371,7.46983,-0.089126,-0.148171,4.30523,7.35273,-0.00204717,5.48849,-0.0400202,4.66313,-0.00244218,6.15056,-0.0439477,4.99006,-0.120859,0.0238521,0.131694,0.785437,0.0808889,0.182309,-11.8629,0.696119,-0.000412886,-9.7446e-06,0.000377444,-0.106216,-2.44306e-07,3.27558e-09,0.0722721,9.95493e-07,-0.000841371,1.01767,0.0910472,0.0773406,5.54383,0.0248239,0.00554784,0.417595,0.142078,0.483965,0.0846262,0.362631,0.0903647,0.300718,0.081211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
